requirement_id,priority,theme,requirement,covered_stages,task_ids,acceptance_gate,test_or_evidence,evidence_ref,status,source_file
REQ-P1-011,P1,销售绩效事实线,输出绩效事实与复核清单，不做工资最终审批,S15,S15PAT01;S15PAT02;S15PAT03;S15PBT01;S15PBT02;S15PBT03;S15PCT01;S15PCT02;S15PCT03,ACC-PERFORMANCE-FACTS,test_performance_facts,KMFA/metadata/stage_status.jsonl,planned,/tmp/kmfa_s01p1_pack/KMFA_ChatGPT_Stage3_Codex_Delivery_v1_1/04_KMFA_需求追溯矩阵_v1_1.csv
REQ-P1-012,P1,资金计划现金贷款线,资金缺口、账户、贷款、现金压力提示，不做付款审批,S14,S14PAT01;S14PAT02;S14PAT03;S14PBT01;S14PBT02;S14PBT03;S14PCT01;S14PCT02;S14PCT03,ACC-CASH-PLAN,test_cash_plan,KMFA/metadata/stage_status.jsonl,planned,/tmp/kmfa_s01p1_pack/KMFA_ChatGPT_Stage3_Codex_Delivery_v1_1/04_KMFA_需求追溯矩阵_v1_1.csv
REQ-P1-013,P1,开票纳税税务政策线,开票纳税证据、税务风险、政策材料缺口，不做正式申报,S14,S14PAT01;S14PAT02;S14PAT03;S14PBT01;S14PBT02;S14PBT03;S14PCT01;S14PCT02;S14PCT03,ACC-TAX-EVIDENCE,test_tax_evidence,KMFA/metadata/stage_status.jsonl,planned,/tmp/kmfa_s01p1_pack/KMFA_ChatGPT_Stage3_Codex_Delivery_v1_1/04_KMFA_需求追溯矩阵_v1_1.csv
REQ-P1-014,P1,外协采购付款归集,外协、采购、付款归集和未归集成本池,S16,S16PAT01;S16PAT02;S16PAT03;S16PBT01;S16PBT02;S16PBT03;S16PCT01;S16PCT02;S16PCT03,ACC-SUBCONTRACT,test_unassigned_cost_pool,KMFA/metadata/stage_status.jsonl,planned,/tmp/kmfa_s01p1_pack/KMFA_ChatGPT_Stage3_Codex_Delivery_v1_1/04_KMFA_需求追溯矩阵_v1_1.csv
REQ-P1-015,P1,项目交付生产状态,开工、完工、结算、开票、回款生命周期和异常清单,S16,S16PAT01;S16PAT02;S16PAT03;S16PBT01;S16PBT02;S16PBT03;S16PCT01;S16PCT02;S16PCT03,ACC-PROJECT-LIFECYCLE,test_project_lifecycle,KMFA/metadata/stage_status.jsonl,planned,/tmp/kmfa_s01p1_pack/KMFA_ChatGPT_Stage3_Codex_Delivery_v1_1/04_KMFA_需求追溯矩阵_v1_1.csv
REQ-P1-016,P1,客户经营分析,客户价值、账龄、项目毛利、回款质量,S16,S16PAT01;S16PAT02;S16PAT03;S16PBT01;S16PBT02;S16PBT03;S16PCT01;S16PCT02;S16PCT03,ACC-CUSTOMER,test_customer_profile,KMFA/metadata/stage_status.jsonl,planned,/tmp/kmfa_s01p1_pack/KMFA_ChatGPT_Stage3_Codex_Delivery_v1_1/04_KMFA_需求追溯矩阵_v1_1.csv
REQ-P2-017,P2,财务SOP与岗位交接,财务SOP、交接材料、操作检查清单进入知识材料，不参与自动财务执行,S17,S17PAT01;S17PAT02;S17PAT03;S17PBT01;S17PBT02;S17PBT03;S17PCT01;S17PCT02;S17PCT03,ACC-SOP,test_sop_index,KMFA/metadata/stage_status.jsonl,planned,/tmp/kmfa_s01p1_pack/KMFA_ChatGPT_Stage3_Codex_Delivery_v1_1/04_KMFA_需求追溯矩阵_v1_1.csv
REQ-P2-018,P2,后续红圈自动接入,红圈可做，但不进入第一轮文件型MVP；后续只读接入，保留导出与hash,S07;S18,S7PAT01;S7PAT02;S7PAT03;S7PBT01;S7PBT02;S7PBT03;S7PCT01;S7PCT02;S7PCT03;S18PAT01;S18PAT02;S18PAT03;S18PBT01;S18PBT02;S18PBT03;S18PCT01;S18PCT02;S18PCT03,ACC-REDCIRCLE-LATER,connector_plan_check,KMFA/metadata/stage_status.jsonl,planned,/tmp/kmfa_s01p1_pack/KMFA_ChatGPT_Stage3_Codex_Delivery_v1_1/04_KMFA_需求追溯矩阵_v1_1.csv
REQ-P2-019,P2,OpMe后续接入,独立开发稳定后再接入OpMe入口，KMFA管项目财务经营，OpMe管技术服务报告,S18,S18PAT01;S18PAT02;S18PAT03;S18PBT01;S18PBT02;S18PBT03;S18PCT01;S18PCT02;S18PCT03,ACC-OPME-HANDOFF,opme_integration_check,KMFA/metadata/stage_status.jsonl,planned,/tmp/kmfa_s01p1_pack/KMFA_ChatGPT_Stage3_Codex_Delivery_v1_1/04_KMFA_需求追溯矩阵_v1_1.csv
REQ-P0-020,P0,防遗漏协议,所有P0/P1要求必须有任务、验收、测试、证据输出,S01;S18,S1PAT01;S1PAT02;S1PAT03;S1PBT01;S1PBT02;S1PBT03;S1PCT01;S1PCT02;S1PCT03;S18PAT01;S18PAT02;S18PAT03;S18PBT01;S18PBT02;S18PBT03;S18PCT01;S18PCT02;S18PCT03,ACC-NO-OMISSION,no_omission_check,KMFA/metadata/stage_status.jsonl,stage1_bound_future_stage_pending,/tmp/kmfa_s01p1_pack/KMFA_ChatGPT_Stage3_Codex_Delivery_v1_1/04_KMFA_需求追溯矩阵_v1_1.csv
