requirement_id,area,priority,requirement,acceptance_id,oracle_threshold,task_ids,test_id,evidence,artifact,owner
R-WS-001,匿名工作区,P0,首次访问自动生成高熵 workspace ID 与 256-bit 恢复密钥；服务器仅保存不可逆 verifier，不保存明文恢复密钥。,AC-WS-001,碰撞=0；密钥>=256-bit 随机；明文 secret 数据库命中=0,T-S04-01,TEST-WS-001,属性测试、数据库抽样、密钥扫描报告,CI/Release Artifact + compact receipt,Backend+Security
R-WS-002,匿名工作区,P0,用户可下载 `.kmfa-recovery` 文件或复制恢复码，在新设备恢复同一工作区；恢复前必须清晰提示丢失密钥无法通过邮箱找回。,AC-WS-002,有效恢复数据一致率=100%；无效输入授权成功=0；警示文案可见,T-S04-02,TEST-WS-002,E2E trace、前后对象清单、恢复测试报告,CI/Release Artifact + compact receipt,Backend+UX
R-WS-003,匿名工作区,P0,workspace secret 不得出现在 URL、Referer、日志、分析事件、错误上报、截图或可公开缓存中；浏览器会话使用安全、短时、可撤销凭据。,AC-WS-003,canary 命中=0；会话凭据具备 Secure/HttpOnly/SameSite 或等效保护并可撤销,T-S04-03,TEST-WS-003,secret scan、HTTP headers、事件样本,CI/Release Artifact + compact receipt,Security
R-WS-004,匿名工作区,P0,匿名核心流程保持可用，同时用分层限额、速率限制、并发预算、可疑行为挑战和资源隔离控制滥用，不将登录作为安全替代品。,AC-WS-004,攻击不造成无界资源增长或 SLO 失控；正常夹具误伤<1%；绕过=0,T-S04-04,TEST-WS-004,压测曲线、限流日志、资源指标、误伤统计,CI/Release Artifact + compact receipt,Security+Ops
R-DATA-001,持久化,P0,项目、用户进度、分数、财务记录、文件元数据、版本、任务和审计写入事务型耐久数据库；浏览器存储不得作为唯一权威源。,AC-DATA-001,记录丢失/重复/破坏约束=0；浏览器缓存清空后仍可恢复,T-S05-01,TEST-DATA-001,数据库快照、迁移日志、前后校验和,CI/Release Artifact + compact receipt,Data/Backend
R-DATA-002,持久化,P0,图片、文档、音视频及任意附件的原始字节写入版本化对象存储，并由数据库保存对象键、校验和、大小、媒体类型、状态与血缘。,AC-DATA-002,正常对象一致率=100%；异常全部被发现并进入确定修复状态；不可解释孤儿=0,T-S05-02,TEST-DATA-002,对象 inventory、DB 查询、对账报告,CI/Release Artifact + compact receipt,Storage/Backend
R-DATA-003,持久化,P0,数据默认无自动到期并保留至用户明确删除或获批的法律/安全处置；删除采用可审计生命周期，包含撤销公开链接、回收对象版本和保留期策略。,AC-DATA-003,默认对象不自动到期；授权删除按策略完成；公开缓存/索引在 SLA 内清除；误删=0,T-S05-04,TEST-DATA-003,生命周期事件、对象版本清单、缓存验证,CI/Release Artifact + compact receipt,Product+Privacy
R-DATA-004,持久化,P0,数据库和对象存储都有备份、版本/复制策略与恢复演练；所谓永久保存必须由跨重启、跨部署和备份恢复 Oracle 证明。,AC-DATA-004,标准夹具 100% 恢复；RPO/RTO 实测记录；数据不变量失败=0,T-S05-04,TEST-DATA-004,restore transcript、计时、校验和、业务 E2E,CI/Release Artifact + compact receipt,SRE
R-UP-001,上传,P0,用户可选择任何扩展名和媒体类型上传；未知、可执行或高风险格式可安全存储但不执行、不解压运行、不内联渲染。,AC-UP-001,所有合规样本可安全存储；未知/高风险仅附件；执行成功=0,T-S06-01,TEST-UP-001,上传矩阵、对象状态、执行负向测试,CI/Release Artifact + compact receipt,Backend+Security
R-UP-002,上传,P1,上传支持可见大小/配额限制、分片或 resumable protocol、断线续传、幂等重试和端到端校验和；限制来自已核验平台能力而非前端猜测。,AC-UP-002,允许范围内恢复成功率=100%；篡改漏检=0；超限在写入预算前拒绝；重复对象不可控增长=0,T-S06-01,TEST-UP-002,tus/multipart trace、校验和、配额记录,CI/Release Artifact + compact receipt,Backend
R-UP-003,上传,P0,上传先进入隔离区，执行文件名归一化、路径穿越防护、大小/配额、MIME 与 magic bytes、压缩炸弹、恶意内容和解析器沙箱检查，再决定可预览、仅下载或拒绝。,AC-UP-003,恶意/畸形逃逸=0；解析不在主进程执行；标准合法夹具误拒<1%,T-S06-02,TEST-UP-003,安全测试报告、隔离日志、状态机记录,CI/Release Artifact + compact receipt,Security
R-UP-004,上传,P0,每次上传与处理生成不可变 object version、内容校验和、来源、时间、处理器版本及派生关系；覆盖操作不得抹除历史。,AC-UP-004,每个版本唯一可追溯；历史不被覆盖；血缘断点=0,T-S06-03,TEST-UP-004,版本图、对象 metadata、DB 约束结果,CI/Release Artifact + compact receipt,Data
R-DL-001,下载,P0,用户可下载原件、批准的预览/派生文件和报告，文件名、内容类型、大小、校验和与来源清晰可见。,AC-DL-001,可用制品 100% 下载；字节/元数据不一致=0；高风险格式不内联,T-S07-01,TEST-DL-001,HTTP trace、下载文件 hash、UI 截图,CI/Release Artifact + compact receipt,Backend+Frontend
R-DL-002,下载,P1,大文件支持 HTTP Range/断点续传，批量选择生成可验证 ZIP；同名文件、特殊字符、超大集合和中断重试均有确定行为。,AC-DL-002,Range 语义正确；续传 hash 一致；ZIP 项目无丢失/覆盖/路径穿越；失败可重试,T-S07-02,TEST-DL-002,HTTP trace、ZIP manifest、hash 清单,CI/Release Artifact + compact receipt,Backend
R-DL-003,下载,P0,高成本报告和导出使用显式创建 Job、查询状态、取得制品的流程；支持幂等键、资源预算、取消、过期制品和失败重试。,AC-DL-003,同幂等键只产生一个业务结果；无界并发=0；取消/失败/过期状态确定；制品可验证,T-S07-03,TEST-DL-003,job events、队列指标、制品 hash、成本指标,CI/Release Artifact + compact receipt,Backend+Ops
R-DL-004,下载,P0,GET/HEAD 用于读取、搜索、状态和下载时不得创建业务记录、改变用户数据或启动未预算的长任务；重复请求可安全重放。,AC-DL-004,业务状态变化=0；未授权长任务启动=0；GET/HEAD 可安全重放,T-S07-03,TEST-DL-004,OpenAPI/路由清单、状态 diff、调用计数,CI/Release Artifact + compact receipt,API Owner
R-PROD-001,产品能力,P0,用户可创建项目，记录步骤、进度、分数、备注和关联文件，并在恢复工作区后获得一致状态。,AC-PROD-001,数据约束正确；恢复后状态一致；并发冲突不静默丢失；核心流 100% 通过,T-S08-01,TEST-PROD-001,E2E trace、DB snapshots、冲突测试,CI/Release Artifact + compact receipt,Product+Backend
R-PROD-002,产品能力,P1,用户可搜索项目、文件名、标签、可抽取文本和报告；默认先用数据库全文检索，公共索引与未公开工作区严格隔离。,AC-PROD-002,私密命中=0；Top-k 通过>=80%；P95<=500ms 或经基线批准的阈值；删除后索引在 SLA 内更新,T-S08-02,TEST-PROD-002,查询结果、排名评分、延迟分布、权限日志,CI/Release Artifact + compact receipt,Search/Data
R-PROD-003,产品能力,P0,上传和工作区内容默认 Unlisted；用户显式发布时生成字段白名单、版本固定、可撤销的公开快照/链接，撤销后缓存与索引按 SLA 清除。,AC-PROD-003,默认公开命中=0；发布仅含白名单字段；撤销在 SLA 内全链路不可访问,T-S08-03,TEST-PROD-003,快照 diff、公共 API、缓存/索引探测,CI/Release Artifact + compact receipt,Product+Privacy
R-PROD-004,产品能力,P1,自动统计页面浏览量、独立访客估算和关键产品事件，不采集恢复密钥、文件内容或不必要身份；明确 UV 口径、时间窗和估算性质。,AC-PROD-004,核心事件可用率>=99%；secret/文件内容命中=0；UV 定义在 UI/文档可见,T-S08-04,TEST-PROD-004,事件样本、schema 校验、敏感扫描、仪表盘,CI/Release Artifact + compact receipt,Product Analytics
R-FIN-001,财务正确性,P0,财务金额使用整数最小货币单位或 Decimal，不使用二进制浮点作为权威值；零金额、负值、舍入和币种规则有 golden tests。,AC-FIN-001,所有期望精确相等；二进制浮点权威字段=0；zero-delta 夹具通过,T-S09-02,TEST-FIN-001,测试报告、类型扫描、golden fixtures,CI/Release Artifact + compact receipt,Finance Domain
R-FIN-002,财务正确性,P0,每条关键财务结果可追溯到输入文件、记录、字段映射、转换版本、口径版本和运行时间，报告必须展示来源与更新时间。,AC-FIN-002,关键结果 100% 可回溯；来源链断点=0；用户可见来源与更新时间存在,T-S09-01,TEST-FIN-002,lineage graph、报告截图、DB 查询,CI/Release Artifact + compact receipt,Finance+Data
R-FIN-003,财务正确性,P0,相同来源重跑必须幂等或产生明确新版本；跨来源冲突不得静默覆盖，必须按规则自动决策或要求一次性显式选择。,AC-FIN-003,静默覆盖=0；重复业务结果=0；冲突均有确定规则或一次性显式选择,T-S09-03,TEST-FIN-003,导入事件、版本图、冲突记录,CI/Release Artifact + compact receipt,Finance+Backend
R-FIN-004,财务正确性,P0,项目成本、收入、预算、偏差、现金流和经营分析从导入到校验、计算、解释、报告、下载形成可走通业务流，错误路径不丢数据。,AC-FIN-004,Golden Path 100% 通过；Black Path 不丢已确认数据；报告数值与来源一致,T-S09-04,TEST-FIN-004,旅程 trace、报告 hash、错误恢复记录,CI/Release Artifact + compact receipt,Product+Finance
R-ARCH-001,架构,P0,公开页面与公开快照、匿名工作区数据、私有运维能力在路由、数据访问、缓存、索引和权限上明确分离；public site 不等于全量数据公开。,AC-ARCH-001,未授权跨平面成功=0；公开面响应不含私有字段/运维细节；边界图与实现一致,T-S10-01,TEST-ARCH-001,访问矩阵、网络/路由配置、canary 扫描,CI/Release Artifact + compact receipt,Architect+Security
R-ARCH-002,架构,P0,数据库记录、对象写入、异步处理、索引和通知使用可恢复状态机、幂等键、outbox/补偿与对账，避免半完成和幽灵状态。,AC-ARCH-002,不可解释终态=0；重复副作用=0；所有半完成在 SLA 内收敛/隔离,T-S05-03,TEST-ARCH-002,状态机轨迹、对账报告、故障注入日志,CI/Release Artifact + compact receipt,Backend
R-MIG-001,架构,P0,Schema、对象布局、路由和公开合同迁移使用 expand-contract、小批量回填、双读/影子校验、可回退步骤和数据完整性 Oracle。,AC-MIG-001,每阶段 Oracle 通过；旧客户端在兼容窗可用；数据校验差异=0；回滚成功,T-S08-04,TEST-MIG-001,迁移日志、校验查询、兼容 E2E、回滚记录,CI/Release Artifact + compact receipt,Data+Release
R-SEC-001,安全,P0,匿名 workspace 只能访问持有有效恢复能力的资源；公共发布面只能访问白名单快照；用私密 canary fixture 验证页面、API、搜索、缓存和对象链接均不泄露。,AC-SEC-001,任何私密 canary 命中=0；越权读取/写入=0；公开快照只含批准字段,T-S10-03,TEST-SEC-001,DAST/授权矩阵、canary 扫描、缓存与搜索结果,CI/Release Artifact + compact receipt,Security
R-SEC-002,安全,P0,覆盖威胁建模、安全编码、代码/依赖/密钥/容器扫描、SBOM、组件治理、补丁时限、审批、渗透测试和回滚，严重问题不得以文档豁免。,AC-SEC-002,已知 Critical/High 阻断问题=0；关键组件均在 SBOM；逾期补丁=0,T-S10-02,TEST-SEC-002,CI reports、SBOM、签名、漏洞处置记录,CI/Release Artifact + compact receipt,Security+Engineering
R-QA-001,质量,P0,先贯通匿名根主页、匿名工作区、一个文件上传、耐久保存、恢复、下载、审计、监控和回滚，再扩展大规模业务模块。,AC-QA-001,端到端 100% 通过；重启后数据存在；下载 hash 一致；回滚后核心路径恢复,T-S03-04,TEST-QA-001,E2E trace、DB/object evidence、rollback event,CI/Release Artifact + compact receipt,Delivery Lead
R-QA-002,质量,P0,每个关键业务流至少覆盖 Golden、Black、Abuse、Degraded、Recovery Path，包含可理解错误、数据不丢失和恢复操作。,AC-QA-002,关键流五类覆盖率=100%；未解释数据损失=0；恢复步骤可执行,T-S11-02,TEST-QA-002,path matrix、trace、状态差异、截图,CI/Release Artifact + compact receipt,QA+Product
R-QA-003,质量,P0,使用单元、合同、属性、golden、集成、E2E、跨浏览器、可访问、视觉、并发、压力、极限、soak、迁移与恢复测试；阈值由真实基线和预算决定。,AC-QA-003,阻断测试全部通过；性能/错误/资源阈值不越界；无未解释 flake,T-S11-03,TEST-QA-003,JUnit/trace/benchmark/soak reports、artifact digest,CI/Release Artifact + compact receipt,QA+SRE
R-QA-004,质量,P0,每条需求必须追到唯一主 Acceptance、Oracle、任务、测试、证据和制品；完整证据进入 CI/Release Artifacts，仓库只保留紧凑 receipt。,AC-QA-004,断链=0；循环=0；重复 ID=0；无 per-stage EVIDENCE 树；receipt<64KiB,T-S02-03,TEST-QA-004,validator report、traceability.csv、CI artifact links,CI/Release Artifact + compact receipt,QA+Governance
R-REL-001,可靠性,P0,关键用户旅程具备 traces、metrics、logs、业务事件和制品身份关联；定义可用性、延迟、错误率、队列、存储与成本 SLO/预算。,AC-REL-001,关键旅程可关联率=100%；敏感数据命中=0；SLO 和错误预算可计算,T-S12-01,TEST-REL-001,OTel traces、dashboards、log scan、SLO report,CI/Release Artifact + compact receipt,SRE
R-REL-002,可靠性,P0,数据库、对象存储、扫描器、处理器、搜索和分析依赖异常时，系统进入明确降级状态，保留数据并支持重试、补偿、队列隔离或自动恢复。,AC-REL-002,数据损坏=0；空白成功=0；可恢复任务最终收敛；用户获得明确状态,T-S12-02,TEST-REL-002,fault traces、UI screenshots、queue/state metrics,CI/Release Artifact + compact receipt,SRE+Backend
R-REL-003,可靠性,P0,发布前主动制造网络、超时、部分写入、重复事件、存储故障、队列积压、区域故障和恢复密钥错误，验证恢复路径与数据不变量。,AC-REL-003,关键故障模式覆盖=100%；数据不变量失败=0；演练缺陷有 owner/期限,T-S11-04,TEST-REL-003,chaos report、restore transcript、postmortem actions,CI/Release Artifact + compact receipt,SRE+QA
R-REL-004,可靠性,P0,所有高风险能力可通过 Feature Flag 控制，使用 Canary/Blue-Green 等效机制、发布后 Oracle 和自动回滚；晋级条件和阈值机器可执行。,AC-REL-004,错误晋级=0；阈值触发后自动停止/回滚；回滚后核心 Oracle 通过,T-S13-02,TEST-REL-004,release events、metrics、flag audit、rollback trace,CI/Release Artifact + compact receipt,Release Owner
R-AI-001,AI,P1,仅当产品引入实际用户可见的模型能力时，建立能力评测、红队、System Card、安全措施、Alpha/Beta/GA 和部署监控；无 AI 能力时明确 N/A。,AC-AI-001,无 AI 不生成伪产物；有 AI 时六类证据齐全且安全阈值通过，否则不晋级,T-S10-04,TEST-AI-001,scope decision、eval/red-team/system card/monitor reports,CI/Release Artifact + compact receipt,AI Owner+Safety
R-OPS-001,运营,P1,建立流量、存储、出网、数据库、扫描、处理和观测基线，设置单位成本、预算告警、配额和敏感性分析；新增服务须有量化触发条件。,AC-OPS-001,所有资源有预算/owner；超预算在一个观测周期内告警；无触发条件的新服务=0,T-S12-03,TEST-OPS-001,cost model、budget alerts、capacity report、decision log,CI/Release Artifact + compact receipt,Ops+Product
