stage,local_code,title,version,domain_code,domain,entrance,acceptance_id,parallel,parallel_note,estimated_hours,file
STAGE-034,D06-S005,数据保留表,v0.1,D06,PostgreSQL 控制面,IDS 系统运营入口,ACC-STAGE-034,是,可在不修改同一批共享文件的前提下，与相邻上游/测试准备 Stage 并行；至少在本 Domain 下游集成 Stage 前完成。,4-12 小时,stages/STAGE-034_数据保留表.md
STAGE-035,D06-S006,数据库恢复冒烟测试,v0.1,D06,PostgreSQL 控制面,IDS 系统运营入口,ACC-STAGE-035,是,可在不修改同一批共享文件的前提下，与相邻上游/测试准备 Stage 并行；至少在本 Domain 下游集成 Stage 前完成。,4-8 小时,stages/STAGE-035_数据库恢复冒烟测试.md
STAGE-036,D06-S007,数据库质量约束,v0.1,D06,PostgreSQL 控制面,IDS 系统运营入口,ACC-STAGE-036,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,4-12 小时,stages/STAGE-036_数据库质量约束.md
STAGE-037,D07-S001,任务状态模型,v0.1,D07,任务编排与机器控制,IDS 系统运营入口,ACC-STAGE-037,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,8-16 小时,stages/STAGE-037_任务状态模型.md
STAGE-038,D07-S002,Worker 队列基线,v0.1,D07,任务编排与机器控制,IDS 系统运营入口,ACC-STAGE-038,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,8-16 小时,stages/STAGE-038_Worker队列基线.md
STAGE-039,D07-S003,重试与死信策略,v0.1,D07,任务编排与机器控制,IDS 系统运营入口,ACC-STAGE-039,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,4-12 小时,stages/STAGE-039_重试与死信策略.md
STAGE-040,D07-S004,反压策略,v0.1,D07,任务编排与机器控制,IDS 系统运营入口,ACC-STAGE-040,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,8-16 小时,stages/STAGE-040_反压策略.md
STAGE-041,D07-S005,锁注册与竞态控制,v0.1,D07,任务编排与机器控制,IDS 系统运营入口,ACC-STAGE-041,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,8-16 小时,stages/STAGE-041_锁注册与竞态控制.md
STAGE-042,D07-S006,自动运行、暂停、恢复与关闭,v0.1,D07,任务编排与机器控制,IDS 系统运营入口,ACC-STAGE-042,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,8-16 小时,stages/STAGE-042_自动运行、暂停、恢复与关闭.md
STAGE-043,D07-S007,Worker 崩溃恢复,v0.1,D07,任务编排与机器控制,IDS 系统运营入口,ACC-STAGE-043,是,可在不修改同一批共享文件的前提下，与相邻上游/测试准备 Stage 并行；至少在本 Domain 下游集成 Stage 前完成。,4-12 小时,stages/STAGE-043_Worker崩溃恢复.md
STAGE-044,D07-S008,半成品输出清理,v0.1,D07,任务编排与机器控制,IDS 系统运营入口,ACC-STAGE-044,是,可在不修改同一批共享文件的前提下，与相邻上游/测试准备 Stage 并行；至少在本 Domain 下游集成 Stage 前完成。,4-12 小时,stages/STAGE-044_半成品输出清理.md
STAGE-045,D08-S001,文件类型检测,v0.1,D08,解析器路由,IDS 系统运营入口,ACC-STAGE-045,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,8-16 小时,stages/STAGE-045_文件类型检测.md
STAGE-046,D08-S002,解析器路由合同,v0.1,D08,解析器路由,IDS 系统运营入口,ACC-STAGE-046,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,8-16 小时,stages/STAGE-046_解析器路由合同.md
STAGE-047,D08-S003,解析器输出合同,v0.1,D08,解析器路由,IDS 系统运营入口,ACC-STAGE-047,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,8-16 小时,stages/STAGE-047_解析器输出合同.md
STAGE-048,D08-S004,解析器失败降级链,v0.1,D08,解析器路由,IDS 系统运营入口,ACC-STAGE-048,是,可与 STAGE-057~062 的表格样例准备并行；至少在 STAGE-063 前完成。,4-12 小时,stages/STAGE-048_解析器失败降级链.md
STAGE-049,D08-S005,差异化解析器评估,v0.1,D08,解析器路由,IDS 系统运营入口,ACC-STAGE-049,是,可与 STAGE-057~062 的表格样例准备并行；至少在 STAGE-063 前完成。,12-24 小时,stages/STAGE-049_差异化解析器评估.md
STAGE-050,D08-S006,解析阶段提示注入标记,v0.1,D08,解析器路由,IDS 系统运营入口,ACC-STAGE-050,是,可与 STAGE-057~062 的表格样例准备并行；至少在 STAGE-063 前完成。,4-12 小时,stages/STAGE-050_解析阶段提示注入标记.md
STAGE-051,D09-S001,OCR 队列基线,v0.1,D09,OCR 管线,IDS 系统运营入口,ACC-STAGE-051,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,8-16 小时,stages/STAGE-051_OCR队列基线.md
STAGE-052,D09-S002,中英文 OCR 合同,v0.1,D09,OCR 管线,IDS 系统运营入口,ACC-STAGE-052,是,可与 STAGE-057~062 的表格样例准备并行；至少在 STAGE-063 前完成。,4-12 小时,stages/STAGE-052_中英文OCR合同.md
STAGE-053,D09-S003,按页 OCR 输出,v0.1,D09,OCR 管线,IDS 系统运营入口,ACC-STAGE-053,是,可与 STAGE-057~062 的表格样例准备并行；至少在 STAGE-063 前完成。,4-12 小时,stages/STAGE-053_按页OCR输出.md
STAGE-054,D09-S004,低置信度复核路由,v0.1,D09,OCR 管线,IDS 系统运营入口,ACC-STAGE-054,是,可与 STAGE-057~062 的表格样例准备并行；至少在 STAGE-063 前完成。,4-12 小时,stages/STAGE-054_低置信度复核路由.md
STAGE-055,D09-S005,OCR 回归语料,v0.1,D09,OCR 管线,IDS 系统运营入口,ACC-STAGE-055,是,可与 STAGE-057~062 的表格样例准备并行；至少在 STAGE-063 前完成。,4-8 小时,stages/STAGE-055_OCR回归语料.md
STAGE-056,D09-S006,OCR 缓存保留策略,v0.1,D09,OCR 管线,IDS 系统运营入口,ACC-STAGE-056,是,可与 STAGE-057~062 的表格样例准备并行；至少在 STAGE-063 前完成。,4-12 小时,stages/STAGE-056_OCR缓存保留策略.md
STAGE-057,D10-S001,XLSX/CSV 接入合同,v0.1,D10,结构化数据与表格事实库,IDS 系统运营入口,ACC-STAGE-057,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,8-16 小时,stages/STAGE-057_XLSX_CSV接入合同.md
STAGE-058,D10-S002,表格 Schema 推断,v0.1,D10,结构化数据与表格事实库,IDS 系统运营入口,ACC-STAGE-058,是,可与 STAGE-051~056 的 OCR 样例和回归语料准备并行；至少在 STAGE-083 前完成。,12-24 小时,stages/STAGE-058_表格Schema推断.md
STAGE-059,D10-S003,事实抽取基线,v0.1,D10,结构化数据与表格事实库,IDS 系统运营入口,ACC-STAGE-059,是,可与 STAGE-051~056 的 OCR 样例和回归语料准备并行；至少在 STAGE-083 前完成。,12-24 小时,stages/STAGE-059_事实抽取基线.md
STAGE-060,D10-S004,表格到 RAG 摘要,v0.1,D10,结构化数据与表格事实库,IDS 系统运营入口,ACC-STAGE-060,是,可与 STAGE-051~056 的 OCR 样例和回归语料准备并行；至少在 STAGE-083 前完成。,4-12 小时,stages/STAGE-060_表格到RAG摘要.md
STAGE-061,D10-S005,结构化数据质量测试,v0.1,D10,结构化数据与表格事实库,IDS 系统运营入口,ACC-STAGE-061,是,可与 STAGE-051~056 的 OCR 样例和回归语料准备并行；至少在 STAGE-083 前完成。,12-24 小时,stages/STAGE-061_结构化数据质量测试.md
STAGE-062,D10-S006,表格证据绑定,v0.1,D10,结构化数据与表格事实库,IDS 系统运营入口,ACC-STAGE-062,是,可与 STAGE-051~056 的 OCR 样例和回归语料准备并行；至少在 STAGE-083 前完成。,4-12 小时,stages/STAGE-062_表格证据绑定.md
STAGE-063,D11-S001,章节感知切块,v0.1,D11,Chunking 与语义资产,IDS 系统运营入口,ACC-STAGE-063,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,8-16 小时,stages/STAGE-063_章节感知切块.md
STAGE-064,D11-S002,Chunk 身份与版本,v0.1,D11,Chunking 与语义资产,IDS 系统运营入口,ACC-STAGE-064,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,4-12 小时,stages/STAGE-064_Chunk身份与版本.md
STAGE-065,D11-S003,工程语义资产分类,v0.1,D11,Chunking 与语义资产,IDS 系统运营入口,ACC-STAGE-065,是,可与 STAGE-119~123 的质量门禁设计并行；至少在 STAGE-083 前完成。,12-24 小时,stages/STAGE-065_工程语义资产分类.md
STAGE-066,D11-S004,Chunk 覆盖率指标,v0.1,D11,Chunking 与语义资产,IDS 系统运营入口,ACC-STAGE-066,是,可与 STAGE-119~123 的质量门禁设计并行；至少在 STAGE-083 前完成。,4-12 小时,stages/STAGE-066_Chunk覆盖率指标.md
STAGE-067,D11-S005,切块质量回归,v0.1,D11,Chunking 与语义资产,IDS 系统运营入口,ACC-STAGE-067,是,可与 STAGE-119~123 的质量门禁设计并行；至少在 STAGE-083 前完成。,4-12 小时,stages/STAGE-067_切块质量回归.md
STAGE-068,D11-S006,质量降级而非只判失败,v0.1,D11,Chunking 与语义资产,IDS 系统运营入口,ACC-STAGE-068,是,可与 STAGE-119~123 的质量门禁设计并行；至少在 STAGE-083 前完成。,4-12 小时,stages/STAGE-068_质量降级而非只判失败.md
STAGE-069,D12-S001,外部 API 策略继承,v0.1,D12,Embedding 与外部 API 策略,IDS 系统运营入口,ACC-STAGE-069,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,8-16 小时,stages/STAGE-069_外部API策略继承.md
STAGE-070,D12-S002,Embedding 队列与缓存,v0.1,D12,Embedding 与外部 API 策略,IDS 系统运营入口,ACC-STAGE-070,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,8-16 小时,stages/STAGE-070_Embedding队列与缓存.md
STAGE-071,D12-S003,Embedding 成本治理器,v0.1,D12,Embedding 与外部 API 策略,IDS 系统运营入口,ACC-STAGE-071,是,可与 STAGE-148~151 的审计与安全基线并行；至少在 STAGE-083 前完成。,12-24 小时,stages/STAGE-071_Embedding成本治理器.md
STAGE-072,D12-S004,Embedding 模型版本,v0.1,D12,Embedding 与外部 API 策略,IDS 系统运营入口,ACC-STAGE-072,是,可与 STAGE-148~151 的审计与安全基线并行；至少在 STAGE-083 前完成。,4-12 小时,stages/STAGE-072_Embedding模型版本.md
STAGE-073,D12-S005,Embedding 审计测试,v0.1,D12,Embedding 与外部 API 策略,IDS 系统运营入口,ACC-STAGE-073,是,可与 STAGE-148~151 的审计与安全基线并行；至少在 STAGE-083 前完成。,4-8 小时,stages/STAGE-073_Embedding审计测试.md
STAGE-074,D12-S006,本地 Embedding 兜底合同,v0.1,D12,Embedding 与外部 API 策略,IDS 系统运营入口,ACC-STAGE-074,是,可与 STAGE-148~151 的审计与安全基线并行；至少在 STAGE-083 前完成。,4-12 小时,stages/STAGE-074_本地Embedding兜底合同.md
STAGE-075,D12-S007,外部 API 覆盖授权审计,v0.1,D12,Embedding 与外部 API 策略,IDS 系统运营入口,ACC-STAGE-075,是,可与 STAGE-148~151 的审计与安全基线并行；至少在 STAGE-083 前完成。,4-12 小时,stages/STAGE-075_外部API覆盖授权审计.md
STAGE-076,D13-S001,索引版本 Schema,v0.1,D13,索引版本与检索不中断,IDS 系统运营入口,ACC-STAGE-076,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,8-16 小时,stages/STAGE-076_索引版本Schema.md
STAGE-077,D13-S002,后台索引构建,v0.1,D13,索引版本与检索不中断,IDS 系统运营入口,ACC-STAGE-077,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,8-16 小时,stages/STAGE-077_后台索引构建.md
STAGE-078,D13-S003,索引冒烟测试,v0.1,D13,索引版本与检索不中断,IDS 系统运营入口,ACC-STAGE-078,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,4-8 小时,stages/STAGE-078_索引冒烟测试.md
STAGE-079,D13-S004,索引原子切换,v0.1,D13,索引版本与检索不中断,IDS 系统运营入口,ACC-STAGE-079,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,8-16 小时,stages/STAGE-079_索引原子切换.md
STAGE-080,D13-S005,索引回滚,v0.1,D13,索引版本与检索不中断,IDS 系统运营入口,ACC-STAGE-080,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,4-8 小时,stages/STAGE-080_索引回滚.md
STAGE-081,D13-S006,影子索引合同,v0.1,D13,索引版本与检索不中断,IDS 系统运营入口,ACC-STAGE-081,是,可与 STAGE-119~123 的数据质量测试设计并行；至少在 STAGE-089 前完成。,12-24 小时,stages/STAGE-081_影子索引合同.md
STAGE-082,D13-S007,旧索引保留策略,v0.1,D13,索引版本与检索不中断,IDS 系统运营入口,ACC-STAGE-082,是,可与 STAGE-119~123 的数据质量测试设计并行；至少在 STAGE-089 前完成。,4-12 小时,stages/STAGE-082_旧索引保留策略.md
STAGE-083,D14-S001,关键词检索基线,v0.1,D14,混合检索,IDS 系统运营入口,ACC-STAGE-083,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,8-16 小时,stages/STAGE-083_关键词检索基线.md
STAGE-084,D14-S002,向量检索基线,v0.1,D14,混合检索,IDS 系统运营入口,ACC-STAGE-084,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,8-16 小时,stages/STAGE-084_向量检索基线.md
STAGE-085,D14-S003,元数据过滤,v0.1,D14,混合检索,IDS 系统运营入口,ACC-STAGE-085,是,可与 STAGE-119~123 的数据质量测试设计并行；至少在 STAGE-089 前完成。,4-12 小时,stages/STAGE-085_元数据过滤.md
STAGE-086,D14-S004,混合排序,v0.1,D14,混合检索,IDS 系统运营入口,ACC-STAGE-086,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,8-16 小时,stages/STAGE-086_混合排序.md
STAGE-087,D14-S005,检索轨迹,v0.1,D14,混合检索,IDS 系统运营入口,ACC-STAGE-087,是,可与 STAGE-119~123 的数据质量测试设计并行；至少在 STAGE-089 前完成。,4-12 小时,stages/STAGE-087_检索轨迹.md
STAGE-088,D14-S006,检索结果有效性门禁,v0.1,D14,混合检索,IDS 系统运营入口,ACC-STAGE-088,是,可与 STAGE-119~123 的数据质量测试设计并行；至少在 STAGE-089 前完成。,12-24 小时,stages/STAGE-088_检索结果有效性门禁.md
STAGE-089,D15-S001,证据账本 Schema,v0.1,D15,证据账本与可信等级,IDS 系统运营入口,ACC-STAGE-089,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,8-16 小时,stages/STAGE-089_证据账本Schema.md
STAGE-090,D15-S002,从检索捕获证据,v0.1,D15,证据账本与可信等级,IDS 系统运营入口,ACC-STAGE-090,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,8-16 小时,stages/STAGE-090_从检索捕获证据.md
STAGE-091,D15-S003,证据缺口处理,v0.1,D15,证据账本与可信等级,IDS 系统运营入口,ACC-STAGE-091,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,4-12 小时,stages/STAGE-091_证据缺口处理.md
STAGE-092,D15-S004,证据风险评分,v0.1,D15,证据账本与可信等级,IDS 系统运营入口,ACC-STAGE-092,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,8-16 小时,stages/STAGE-092_证据风险评分.md
STAGE-093,D15-S005,证据可信等级 A/B/C/D/E,v0.1,D15,证据账本与可信等级,IDS 系统运营入口,ACC-STAGE-093,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,4-12 小时,stages/STAGE-093_证据可信等级A_B_C_D_E.md
STAGE-094,D15-S006,证据撤回,v0.1,D15,证据账本与可信等级,IDS 系统运营入口,ACC-STAGE-094,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,4-12 小时,stages/STAGE-094_证据撤回.md
STAGE-095,D15-S007,证据回归测试,v0.1,D15,证据账本与可信等级,IDS 系统运营入口,ACC-STAGE-095,是,可与 STAGE-119~123、STAGE-152~157 的测试设计并行；至少在 STAGE-105 前完成。,4-8 小时,stages/STAGE-095_证据回归测试.md
STAGE-096,D15-S008,知识库投毒防护,v0.1,D15,证据账本与可信等级,IDS 系统运营入口,ACC-STAGE-096,是,可与 STAGE-119~123、STAGE-152~157 的测试设计并行；至少在 STAGE-105 前完成。,12-24 小时,stages/STAGE-096_知识库投毒防护.md
STAGE-097,D16-S001,回答合同,v0.1,D16,RAG 回答层与安全,IDS 系统运营入口,ACC-STAGE-097,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,8-16 小时,stages/STAGE-097_回答合同.md
STAGE-098,D16-S002,Prompt 版本化,v0.1,D16,RAG 回答层与安全,IDS 系统运营入口,ACC-STAGE-098,否,本 Stage 涉及共享契约、状态机、数据库、索引、证据、报告或执行规则，建议单独完成后再进入下游。,4-12 小时,stages/STAGE-098_Prompt版本化.md
