项目,文件名,日期,时长秒,分辨率,功能位,画质等级,描述,画面元素,镜头特征,工序阶段,脱敏风险,置信度
化工群,化工_工地施工场景_260817_02.mp4,260817,29.4,544x960,环境铺垫,仅可内嵌,工地施工场景,人员、厂区,全景、固定机位,无法判断,无,高
化工群,化工_挖土施工_260816_01.mp4,260816,59.9,720x1280,环境铺垫,可全屏,挖土施工,人员、厂区,全景、手持抖动,无法判断,无,高
化工群,化工_工地挖掘现场_260817_01.mp4,260817,36.1,544x960,环境铺垫,仅可内嵌,工地挖掘现场,人员、厂区,中景、全景、固定机位,无法判断,客户名称,高
化工群,化工_工地施工场景_260817_01.mp4,260817,27.3,544x960,环境铺垫,仅可内嵌,工地施工场景,无,中景,无法判断,车牌,高
化工群,化工_施工现场_260817_01.mp4,260817,12.9,720x1280,环境铺垫,可全屏,施工现场,人员、厂区,中景、全景、固定机位,无法判断,无,高
化工群,化工_工地施工现场_260817_01.mp4,260817,4.4,544x960,环境铺垫,仅可内嵌,工地施工现场,人员、厂区,全景、运动镜头,无法判断,无,高
化工群,化工_夜间施工现场_260816_01.mp4,260816,9.9,720x1280,不可用,可全屏,夜间施工现场,厂区,中景、手持抖动,无法判断,无,高
化工群,化工_工地挖掘作业_260817_01.mp4,260817,25.4,544x960,环境铺垫,仅可内嵌,工地挖掘作业,人员、厂区,中景、固定机位,无法判断,车牌,高
内部群,内部_灌木丛合影_260401_01.mp4,260401,37.3,720x1280,环境铺垫,可全屏,灌木丛合影,厂区、文字牌,手持抖动,无法判断,无,高
内部群,260227_02.mp4,260227,15.5,720x1280,不可用,可全屏,,无,,无法判断,无,
内部群,内部_回转窑维修_260522_01.mp4,260522,18.4,544x960,环境铺垫,仅可内嵌,回转窑维修,人员、筒体、厂区、文字牌,手持抖动、中景,无法判断,人脸,高
内部群,260331_04.mp4,260331,13.7,544x960,不可用,仅可内嵌,,无,,无法判断,无,
内部群,260403_01.mp4,260403,16.5,960x544,不可用,仅可内嵌,,无,,无法判断,人脸,
内部群,内部_工业现场环境_260418_01.mp4,260418,8.5,544x960,环境铺垫,仅可内嵌,工业现场环境,厂区,中景,无法判断,无,高
内部群,内部_农田种植_260423_01.mp4,260423,30.1,720x1280,不可用,可全屏,农田种植,无,全景,无法判断,无,高
内部群,内部_草丛地面_260312_04.mp4,260312,50.4,720x1280,不可用,可全屏,草丛地面,无,,无法判断,无,高
内部群,内部_园艺绿化_260427_01.mp4,260427,22.9,544x960,环境铺垫,仅可内嵌,园艺绿化,厂区、文字牌,中景,无法判断,无,高
内部群,内部_树枝修剪_260407_01.mp4,260407,28.7,544x960,环境铺垫,仅可内嵌,树枝修剪,厂区、文字牌,中景、手持抖动,无法判断,无,高
内部群,内部_地面景物_260513_01.mp4,260513,23.1,544x960,不可用,仅可内嵌,地面景物,无,手持抖动,无法判断,无,高
内部群,内部_夜间检修现场_260219_03.mp4,260219,32.2,544x960,环境铺垫,仅可内嵌,夜间检修现场,厂区、文字牌,手持抖动,无法判断,无,高
内部群,内部_园艺场景_260604_01.mp4,260604,29.2,720x1280,环境铺垫,可全屏,园艺场景,无,中景,无法判断,无,高
内部群,内部_回转窑检修_260131_07.mp4,260131,14.2,544x960,不可用,仅可内嵌,回转窑检修,筒体,大特写,无法判断,无,高
内部群,内部_户外小院布置_260501_01.mp4,260501,18.2,720x1280,不可用,可全屏,户外小院布置,无,全景、固定机位,无法判断,无,高
内部群,内部_夜晚厂区环境_260219_02.mp4,260219,40.3,544x960,不可用,仅可内嵌,夜晚厂区环境,厂区、文字牌,手持抖动、强对比,无法判断,无,高
内部群,内部_墙边的灌木_260712_01.mp4,260712,53.0,720x1280,不可用,可全屏,墙边的灌木,无,手持抖动,无法判断,无,高
内部群,内部_植物浇水_260606_01.mp4,260606,31.8,720x1280,不可用,可全屏,植物浇水,无,手持抖动,无法判断,无,高
内部群,内部_井盖与管道_260816_01.mp4,260816,41.3,544x960,环境铺垫,仅可内嵌,井盖与管道,厂区、文字牌,手持抖动,无法判断,无,高
内部群,内部_庭院内绿植_260729_01.mp4,260729,37.6,720x1280,不可用,可全屏,庭院内绿植,无,中景,无法判断,无,高
内部群,内部_夜间厂区拍摄_260218_02.mp4,260218,37.3,544x960,环境铺垫,仅可内嵌,夜间厂区拍摄,厂区、文字牌,固定机位、手持抖动,无法判断,无,高
内部群,内部_泥土园艺场景_260405_01.mp4,260405,60.1,544x960,不可用,仅可内嵌,泥土园艺场景,无,中景、手持抖动,无法判断,无,高
内部群,内部_在线磨削_260725_01.mp4,260725,14.2,544x960,过程证据,仅可内嵌,在线磨削,火花、人员、轮带、筒体,中景、固定机位,加工,无,高
内部群,内部_夜间维修现场_260220_03.mp4,260220,39.0,544x960,环境铺垫,仅可内嵌,夜间维修现场,文字牌,手持抖动,无法判断,无,高
内部群,lQbPJxqFOdlswakAALAJSZys2VUmNgntPaKVWY8A.mp4,260528,13.4,544x960,不可用,仅可内嵌,,无,,无法判断,无,
内部群,内部_户外人行道_260610_01.mp4,260610,17.4,720x1280,环境铺垫,可全屏,户外人行道,无,手持抖动,无法判断,无,高
内部群,260324_01.mp4,260324,41.7,544x960,不可用,仅可内嵌,,无,,无法判断,无,
内部群,内部_浇水地面_260606_01.mp4,260606,36.3,720x1280,不可用,可全屏,浇水地面,无,手持抖动,无法判断,无,高
内部群,内部_绿色植物_260414_01.mp4,260414,43.9,720x1280,不可用,可全屏,绿色植物,无,手持抖动,无法判断,无,高
内部群,内部_筒体磨损面_260130_03.mp4,260130,17.6,544x960,不可用,仅可内嵌,筒体磨损面,筒体、磨损面,大特写,无法判断,无,高
内部群,260315_01.mp4,260315,60.7,544x960,不可用,仅可内嵌,,无,,无法判断,无,
内部群,内部_给植物浇水_260607_01.mp4,260607,53.8,720x1280,不可用,可全屏,给植物浇水,无,手持抖动,无法判断,无,高
内部群,内部_机械设备_260619_01.mp4,260619,31.5,544x960,不可用,仅可内嵌,机械设备,筒体、文字牌,手持抖动,无法判断,无,高
内部群,内部_现场绿植画面_260425_01.mp4,260425,22.6,544x960,环境铺垫,仅可内嵌,现场绿植画面,无,手持抖动,无法判断,无,高
内部群,内部_地面上的工具_260309_04.mp4,260309,19.9,544x960,环境铺垫,仅可内嵌,地面上的工具,厂区、文字牌,中景、固定机位,无法判断,无,高
内部群,lQbPJx-QtXC5q8cAALDW_EpfDzshYQoyg-JYLcMA.mp4,260721,23.1,544x960,不可用,仅可内嵌,,无,,无法判断,无,
内部群,260407_02.mp4,260407,27.7,720x1280,不可用,可全屏,,无,,无法判断,无,待确认
内部群,260329_02.mp4,260329,24.7,720x1280,不可用,可全屏,,无,,无法判断,无,
内部群,内部_夜间厂区_260223_02.mp4,260223,42.9,544x960,环境铺垫,仅可内嵌,夜间厂区,厂区、文字牌,手持抖动、运动镜头、强对比,无法判断,无,高
内部群,内部_喷洒树木_260514_01.mp4,260514,31.0,544x960,不可用,仅可内嵌,喷洒树木,无,手持抖动,无法判断,无,高
内部群,内部_禁止标识_260217_01.mp4,260217,25.1,544x960,环境铺垫,仅可内嵌,禁止标识,文字牌,固定机位,无法判断,安全告示牌,高
内部群,内部_工业维修现场_260402_01.mp4,260402,14.6,544x960,环境铺垫,仅可内嵌,工业维修现场,人员、筒体、厂区、文字牌,手持抖动,无法判断,无,高
内部群,lQbPJxH1WBmkNbUAALC8fCuQYjYLOAneiz-1y4QA.mp4,260517,40.4,720x1280,不可用,可全屏,,无,,无法判断,无,
内部群,260331_03.mp4,260331,18.3,544x960,不可用,仅可内嵌,,无,,无法判断,无,
内部群,内部_植物支架景观_260703_01.mp4,260703,29.7,720x1280,不可用,可全屏,植物支架景观,无,手持抖动,无法判断,无,高
内部群,内部_道路旁花坛_260312_05.mp4,260312,18.3,720x1280,环境铺垫,可全屏,道路旁花坛,文字牌、厂区,中景,无法判断,无,高
内部群,内部_地面与植物_260519_01.mp4,260519,21.1,544x960,不可用,仅可内嵌,地面与植物,无,手持抖动,无法判断,无,高
内部群,内部_工厂外景_260604_01.mp4,260604,18.0,544x960,环境铺垫,仅可内嵌,工厂外景,厂区,手持抖动,无法判断,无,高
内部群,lQbPJwMlqSALZWkAALCk5KAkkbutMwnsvZu8R0AA.mp4,260528,17.2,544x960,不可用,仅可内嵌,,无,,无法判断,人脸,
内部群,内部_工业机械设备_260721_01.mp4,260721,8.8,720x1280,环境铺垫,可全屏,工业机械设备,筒体、厂区,中景、手持抖动,无法判断,无,高
内部群,内部_场地清理_260415_01.mp4,260415,29.6,720x1280,环境铺垫,可全屏,场地清理,厂区、文字牌,全景、手持抖动,无法判断,无,高
内部群,内部_多人燃放烟火_260224_01.mp4,260224,18.9,1280x720,环境铺垫,可全屏,多人燃放烟火,人员、厂区,中景、固定机位,无法判断,无,高
内部群,lQbPJwvqSv20Q2MAALCBzxJplsrQiApAO64u5A8A.mp4,260801,32.6,720x1280,不可用,可全屏,,无,,无法判断,无,待确认
内部群,内部_园艺浇水_260801_01.mp4,260801,54.1,720x1280,环境铺垫,可全屏,园艺浇水,人员,手持抖动,无法判断,无,高
内部群,内部_喷洒植物_260425_02.mp4,260425,16.9,544x960,不可用,仅可内嵌,喷洒植物,无,手持抖动,无法判断,无,高
内部群,260331_02.mp4,260331,25.2,720x1280,不可用,可全屏,,无,,无法判断,无,
内部群,内部_灯光拖影_260217_03.mp4,260217,23.4,544x960,不可用,仅可内嵌,灯光拖影,无,手持抖动,无法判断,无,高
内部群,260131_10.mp4,260131,32.2,544x960,不可用,仅可内嵌,,无,,无法判断,无,待确认
内部群,内部_回转窑筒体_260131_11.mp4,260131,9.6,544x960,不可用,仅可内嵌,回转窑筒体,筒体,大特写,无法判断,无,高
内部群,lQbPKISJ044_k2kAALBR7Fwpfo2JxwntA-yyVSIA.mp4,260528,22.9,960x544,不可用,仅可内嵌,,无,,无法判断,无,
内部群,lQbPKdMiCawtwskAALBV0JOPoQKMUwnjq6Y4XpoA.mp4,260521,48.4,720x1280,不可用,可全屏,,无,,无法判断,人脸,
内部群,内部_车内地板_260609_01.mp4,260609,17.8,544x960,不可用,仅可内嵌,车内地板,无,手持抖动,无法判断,无,高
内部群,260227_01.mp4,260227,4.2,720x1280,不可用,可全屏,,无,,无法判断,无,
内部群,内部_道路旁树叶_260530_01.mp4,260530,58.3,720x1280,环境铺垫,可全屏,道路旁树叶,无,中景、手持抖动,无法判断,无,高
内部群,内部_室内维修画面_260307_01.mp4,260307,51.5,544x960,环境铺垫,仅可内嵌,室内维修画面,人员、吊装、厂区、文字牌,全景、手持抖动,无法判断,人脸,高
内部群,内部_厂区环境图_260521_01.mp4,260521,51.5,720x1280,环境铺垫,可全屏,厂区环境图,厂区,中景、固定机位,无法判断,无,高
内部群,内部_接触表刻度盘_260726_01.mp4,260726,5.6,544x960,不可用,仅可内嵌,接触表刻度盘,文字牌,大特写、固定机位,无法判断,无,高
内部群,内部_设备内部结构_260519_01.mp4,260519,41.5,544x960,不可用,仅可内嵌,设备内部结构,筒体、量具、文字牌,手持抖动,无法判断,无,高
内部群,内部_户外区域场景_260312_03.mp4,260312,49.3,544x960,环境铺垫,仅可内嵌,户外区域场景,厂区、文字牌,手持抖动,无法判断,无,高
内部群,内部_绿化带照片_260405_02.mp4,260405,16.7,720x1280,不可用,可全屏,绿化带照片,无,全景,无法判断,无,高
内部群,内部_厂区绿化_260610_01.mp4,260610,35.2,720x1280,环境铺垫,可全屏,厂区绿化,厂区、文字牌,中景,无法判断,无,高
内部群,内部_工厂内道路_260616_01.mp4,260616,31.0,544x960,环境铺垫,仅可内嵌,工厂内道路,厂区、文字牌,中景、手持抖动,无法判断,无,高
内部群,260312_02.mp4,260312,19.0,544x960,不可用,仅可内嵌,,无,,无法判断,无,待确认
内部群,内部_树池泥土_260309_01.mp4,260309,42.9,544x960,不可用,仅可内嵌,树池泥土,无,手持抖动,无法判断,无,高
内部群,内部_绿色植被_260624_01.mp4,260624,57.6,720x1280,不可用,可全屏,绿色植被,文字牌,手持抖动,无法判断,无,高
内部群,内部_回转窑磨损面_260131_05.mp4,260131,67.5,544x960,开场证据,仅可内嵌,回转窑磨损面,磨损面、筒体,大特写、手持抖动,测量,无,高
内部群,lQbPKHNOxxFFSkEAALAu2Ge8VNl7lwnlfvDX4l8A.mp4,260522,30.9,960x544,不可用,仅可内嵌,,无,,无法判断,无,
内部群,lQbPJwhBg5FjjxEAALCFgCRYBT4MJgnn-azho2sA.mp4,260524,14.6,544x960,不可用,仅可内嵌,,无,,无法判断,无,
内部群,内部_室外地面杂物_260606_01.mp4,260606,62.4,544x960,不可用,仅可内嵌,室外地面杂物,厂区,手持抖动,无法判断,无,高
内部群,内部_回转窑检修_260725_01.mp4,260725,21.5,544x960,过程证据,仅可内嵌,回转窑检修,刀具、轮带、筒体、加工纹面、磨损面,大特写、手持抖动,加工,无,高
内部群,内部_水池与倒影_260319_02.mp4,260319,39.4,544x960,不可用,仅可内嵌,水池与倒影,无,全景,无法判断,无,高
内部群,内部_土壤场景_260314_02.mp4,260314,33.3,720x1280,不可用,可全屏,土壤场景,无,固定机位,无法判断,无,高
内部群,内部_植物浇灌_260602_01.mp4,260602,23.4,544x960,不可用,仅可内嵌,植物浇灌,无,手持抖动,无法判断,无,高
内部群,内部_夜间施工图片_260217_05.mp4,260217,45.2,544x960,不可用,仅可内嵌,夜间施工图片,厂区、文字牌,手持抖动、逆光,无法判断,无,高
内部群,内部_作业检修现场_260412_01.mp4,260412,11.0,960x544,环境铺垫,仅可内嵌,作业检修现场,筒体、文字牌,固定机位,无法判断,无,高
内部群,内部_下水道画面_260525_01.mp4,260525,13.5,544x960,不可用,仅可内嵌,下水道画面,无,全景、手持抖动,无法判断,无,高
内部群,260407_03.mp4,260407,22.0,720x1280,不可用,可全屏,,无,,无法判断,人脸,待确认
内部群,内部_园艺喷洒植物_260609_01.mp4,260609,43.9,544x960,不可用,仅可内嵌,园艺喷洒植物,无,手持抖动、运动镜头,无法判断,无,高
内部群,内部_室内卫生设施_260319_01.mp4,260319,16.9,720x1280,不可用,可全屏,室内卫生设施,无,中景、手持抖动,无法判断,无,高
内部群,内部_夜间厂区灯光_260223_05.mp4,260223,35.3,544x960,环境铺垫,仅可内嵌,夜间厂区灯光,厂区,固定机位,无法判断,无,高
内部群,内部_种植区绿植_260118_01.mp4,260118,61.9,544x960,环境铺垫,仅可内嵌,种植区绿植,无,手持抖动,无法判断,无,高
内部群,lQbPJwYf0Rf4NmsAALA8QczQ-Q62yQn_5RbMZOYA.mp4,260612,32.0,544x960,不可用,仅可内嵌,,无,,无法判断,无,
内部群,lQbPJxC41wG3rNkAALBEP4eJlPDnaQnkH3ehY6AA.mp4,260521,18.5,544x960,不可用,仅可内嵌,,无,,无法判断,无,
内部群,lQbPKIJ6UeS8QNEAALAG_vHdQL5anAnmFN3AcgwA.mp4,260523,30.0,960x544,不可用,仅可内嵌,,无,,无法判断,无,待确认
内部群,260410_01.mp4,260410,23.6,960x544,不可用,仅可内嵌,,无,,无法判断,无,
内部群,内部_夜间维修场景_260218_04.mp4,260218,47.3,544x960,环境铺垫,仅可内嵌,夜间维修场景,文字牌、厂区,手持抖动、运动镜头、强对比,无法判断,无,高
内部群,内部_工业现场_260528_01.mp4,260528,12.8,544x960,环境铺垫,仅可内嵌,工业现场,人员、筒体、厂区、文字牌,手持抖动、中景,无法判断,人脸,高
内部群,内部_树木喷洒操作_260514_01.mp4,260514,22.0,544x960,不可用,仅可内嵌,树木喷洒操作,人员、文字牌,手持抖动,无法判断,无,高
内部群,内部_户外地面杂草_260325_01.mp4,260325,28.7,720x1280,不可用,可全屏,户外地面杂草,无,手持抖动,无法判断,无,高
内部群,内部_钢铁行业现场_260522_01.mp4,260522,13.6,960x544,环境铺垫,仅可内嵌,钢铁行业现场,人员、文字牌、筒体、厂区,手持抖动,无法判断,客户名称,高
内部群,内部_工厂设备检修_260522_01.mp4,260522,18.5,544x960,环境铺垫,仅可内嵌,工厂设备检修,人员、筒体、厂区、文字牌,中景、手持抖动,无法判断,人脸、安全告示牌,高
内部群,内部_围栏环绕绿地_260521_01.mp4,260521,29.9,720x1280,不可用,可全屏,围栏环绕绿地,厂区,中景,无法判断,无,高
内部群,内部_植物浇水画面_260807_01.mp4,260807,38.4,720x1280,不可用,可全屏,植物浇水画面,无,手持抖动,无法判断,无,高
内部群,内部_工厂内景_260329_01.mp4,260329,18.5,960x544,环境铺垫,仅可内嵌,工厂内景,筒体、轮带、量具、文字牌,手持抖动,测量,客户名称,高
内部群,内部_黑色液体操作_260130_02.mp4,260130,15.8,544x960,不可用,仅可内嵌,黑色液体操作,筒体,大特写,无法判断,无,高
内部群,260403_02.mp4,260403,11.1,544x960,不可用,仅可内嵌,,无,,无法判断,无,
内部群,内部_压力表特写_260131_01.mp4,260131,60.7,544x960,关键细节,仅可内嵌,压力表特写,量具,大特写,测量,无,高
内部群,内部_绿色蔬菜地_260223_04.mp4,260223,17.7,544x960,不可用,仅可内嵌,绿色蔬菜地,无,手持抖动,无法判断,无,高
内部群,内部_城市绿化维护_260309_02.mp4,260309,31.9,544x960,环境铺垫,仅可内嵌,城市绿化维护,厂区,手持抖动、中景,无法判断,无,高
内部群,内部_轮带磨削_260131_06.mp4,260131,14.2,544x960,过程证据,仅可内嵌,轮带磨削,筒体、轮带,大特写,加工,无,高
内部群,lQbPJxI-GoqzBrMAALCgXpa_-NsUGwo6Sddbv_gA.mp4,260727,53.4,960x544,不可用,仅可内嵌,,无,,无法判断,无,待确认
内部群,260405_03.mp4,260405,33.5,720x1280,不可用,可全屏,,无,,无法判断,无,
内部群,lQbPKILyX4zvmrEAALAWDIUdxSocjAmjwo-1_LgA.mp4,260401,33.2,544x960,不可用,仅可内嵌,,无,,无法判断,人脸,
内部群,内部_回转窑加工_260520_01.mp4,260520,15.9,720x1280,过程证据,可全屏,回转窑加工,人员、筒体、厂区,中景、固定机位,加工,人脸,高
内部群,内部_绿色植被_260407_04.mp4,260407,29.9,720x1280,不可用,可全屏,绿色植被,无,固定机位,无法判断,无,高
